dcid,year,total_distribution_power_line_length,cost_per_household_for_undergrounding_fire_prone_lines
geoId/060816088003,2021,3405.135069491645,0.0
geoId/060816090001,2021,7396.239171454373,0.0
geoId/060816088001,2021,3447.35354767457,0.0
geoId/060816070002,2021,11397.61748431741,0.0
geoId/060816071001,2021,4204.044297865404,0.0
geoId/060816088005,2021,10509.509614170838,2477.687934087161
geoId/060816085011,2021,4881.4517181708725,0.0
geoId/060816071002,2021,4880.625510503187,0.0
geoId/060530128001,2021,8560.548231578945,0.0
geoId/060530127004,2021,3328.879257981424,0.0
geoId/060530127003,2021,3666.926252112572,0.0
geoId/060530128003,2021,6766.468966011528,0.0
geoId/060530128005,2021,5733.201340053332,0.0
geoId/060855009011,2021,4446.7041778675075,0.0
geoId/060855010003,2021,4208.656842638641,0.0
geoId/060855013003,2021,2098.9636746570186,0.0
geoId/060855009022,2021,850.9141985990628,0.0
geoId/060855009012,2021,9554.349512286057,0.0
geoId/060855010005,2021,2906.159932219377,0.0
geoId/060855010004,2021,3005.292176705969,0.0
geoId/060855013004,2021,2252.138208993006,0.0
geoId/060855008001,2021,30807.1791120078,0.0
geoId/060855010001,2021,2650.1132455348597,0.0
geoId/060855012003,2021,1812.4815637761865,0.0
geoId/060014507013,2021,117262.52638017258,43799.03906694342
geoId/060014506011,2021,20790.1122470814,64861.51063930264
geoId/060014506012,2021,64673.48344955795,19495.224822775963
geoId/060014351031,2021,51059.19009364073,18291.242412697087
geoId/060014431031,2021,18280.06552266461,20971.789402327053
geoId/060290009031,2021,16523.776671408494,0.0
geoId/060290009092,2021,16314.915785105164,0.0
geoId/060290009032,2021,6142.613996131817,0.0
geoId/060290014004,2021,12007.069957302432,0.0
geoId/060290009082,2021,12167.706630139472,0.0
geoId/060290009021,2021,8444.185221235648,0.0
geoId/060290009083,2021,10190.613269386293,0.0
geoId/060290009091,2021,10114.362342804274,0.0
geoId/060290009022,2021,9019.799005093995,0.0
geoId/060290008002,2021,3833.448672712468,0.0
geoId/060290008001,2021,3056.5233772294523,0.0
geoId/060790104041,2021,32030.95812288928,0.0
geoId/060790104032,2021,12595.402860604812,0.0
geoId/060790130001,2021,318743.09964724234,212216.48210978543
geoId/060610204021,2021,16922.656949476277,22811.78200840103
geoId/060610204011,2021,16102.184973622509,16244.926844765265
geoId/060610204012,2021,6269.59145253703,6019.766060316508
geoId/060610203003,2021,8889.506757923413,19387.967776279445
geoId/060610203001,2021,14639.543917697463,14280.520382283776
geoId/060110002004,2021,13152.072832572225,0.0
geoId/060110002005,2021,103911.3742051399,0.0
geoId/060110002003,2021,13105.505674204867,0.0
geoId/060110002001,2021,4956.72244973936,0.0
geoId/060770001002,2021,18350.59999112809,0.0
geoId/060770001001,2021,10819.12791449323,0.0
geoId/060770004021,2021,7728.06846069367,0.0
geoId/060770004022,2021,2162.9478496963948,0.0
geoId/060770027011,2021,13785.943039350754,0.0
geoId/060770017002,2021,8685.639711727414,0.0
geoId/060770018002,2021,9898.14738059815,0.0
geoId/060770018001,2021,11993.438982639153,0.0
geoId/060770036014,2021,36107.36607225378,0.0
geoId/060770017001,2021,6471.8647597725985,0.0
geoId/060770016002,2021,9678.041287933514,0.0
geoId/060770017003,2021,2692.4987273516545,0.0
geoId/060855032122,2021,6864.428977006651,0.0
geoId/060855032121,2021,3991.590848623842,0.0
geoId/060855033051,2021,7231.978923071037,0.0
geoId/060855033371,2021,5695.674607905428,0.0
geoId/060855033044,2021,2557.225685681861,0.0
geoId/060855033043,2021,4622.718501684109,0.0
geoId/060855033362,2021,7373.999022521045,0.0
geoId/060855033361,2021,4530.783503495256,0.0
geoId/060855032123,2021,5431.237555902776,0.0
geoId/060855033372,2021,5162.810725784878,0.0
geoId/060855032071,2021,7684.070182864019,0.0
geoId/060855032072,2021,5558.915043497061,0.0
geoId/060855032041,2021,8814.399041268836,0.0
geoId/060855032131,2021,4048.494084016232,0.0
geoId/060855032132,2021,4776.648434768398,0.0
geoId/060855033341,2021,38462.48747487134,6639.300472056928
geoId/060855033153,2021,12431.640748950664,0.0
geoId/060290005071,2021,103458.26776347576,0.0
geoId/060290005061,2021,32422.46755839643,0.0
geoId/060990034001,2021,143678.05688094528,265.04071959786137
geoId/060014324003,2021,31693.32933710765,0.0
geoId/060014091001,2021,4340.28156398007,0.0
geoId/060014090001,2021,19225.946964656538,0.0
geoId/060014092001,2021,4868.450082162457,0.0
geoId/060014092002,2021,2791.511798756176,0.0
geoId/060014325021,2021,5922.911154635641,0.0
geoId/060750124012,2021,4783.827996057426,0.0
geoId/060750124011,2021,4925.154187758966,0.0
geoId/060750124023,2021,4211.061942825164,0.0
geoId/060750122012,2021,3281.558845010256,0.0
geoId/060750122011,2021,6225.559799520669,0.0
geoId/060750124022,2021,11490.97720155723,0.0
geoId/060750124021,2021,6195.219741173199,0.0
geoId/060750176013,2021,21560.81022890337,0.0
geoId/060750160001,2021,7498.568721915224,0.0
geoId/060750122021,2021,7830.574623683498,0.0
geoId/060190054052,2021,11855.484314741769,0.0
geoId/060190054053,2021,8062.961163410968,0.0
geoId/060190054031,2021,11163.651366291428,0.0
geoId/060190054033,2021,3209.337988286657,0.0
geoId/060190054091,2021,7003.084389518307,0.0
geoId/060190054092,2021,12519.91626889712,0.0
geoId/060190082001,2021,171468.89812080518,0.0
geoId/060014061001,2021,8086.948621704447,0.0
geoId/060014065004,2021,2362.8303109426292,0.0
geoId/060014071012,2021,1798.4009453723943,0.0
geoId/060014065002,2021,1170.712851445725,0.0
geoId/060014065003,2021,2640.153454514658,0.0
geoId/060014064001,2021,1057.5869136546444,0.0
geoId/060014072002,2021,1254.725610142236,0.0
