dcid,year,distri_ug_rate
zip/01863,2020,0.2778602894974836
zip/01864,2020,0.241469525282383
zip/01867,2020,0.3719454831948571
zip/01876,2020,0.3420046898428396
zip/01879,2020,0.2777782348812508
zip/01880,2020,0.3255096213034885
zip/01886,2020,0.3370896842922017
zip/01887,2020,0.3420046898428396
zip/01890,2020,0.3462010438308349
zip/01901,2020,0.2482972078003212
zip/01902,2020,0.2482972078003213
zip/01904,2020,0.2261322318984343
zip/01905,2020,0.2482972078003212
zip/01906,2020,0.2675593093506789
zip/01907,2020,0.2871847635910831
zip/01908,2020,0.2482972078003212
zip/01913,2020,0.2243621020425916
zip/01915,2020,0.2439197758586491
zip/01921,2020,0.1885058053901674
zip/01922,2020,0.1976315632632234
zip/01923,2020,0.2086698374726813
zip/01929,2020,0.2343930299727715
zip/01930,2020,0.2343930299727715
zip/01937,2020,0.3095596027773281
zip/01938,2020,0.2311036205496447
zip/01940,2020,0.2387818661454671
zip/01944,2020,0.2482972078003212
zip/01945,2020,0.2871847635910831
zip/01949,2020,0.2177631453428565
zip/01950,2020,0.2482972078003213
zip/01951,2020,0.2311036205496447
zip/01952,2020,0.2482972078003213
zip/01960,2020,0.2177631453428565
zip/01965,2020,0.2482972078003213
zip/01966,2020,0.2482972078003212
zip/01969,2020,0.2033021678187183
zip/01970,2020,0.2571502613258609
zip/01982,2020,0.2343930299727715
zip/01983,2020,0.2242514644107898
zip/01984,2020,0.2439197758586491
zip/01985,2020,0.20970501384587
zip/02019,2020,0.3319685996205564
zip/02021,2020,0.3273967661920106
zip/02025,2020,0.2185018899382553
zip/02026,2020,0.4000339837379316
zip/02030,2020,0.4072018309117727
zip/02032,2020,0.3840129168706032
zip/02035,2020,0.3419046767260875
zip/02038,2020,0.3319685996205564
zip/02043,2020,0.2185018899382553
zip/02045,2020,0.2185018899382553
zip/02047,2020,0.2208129666389588
zip/02048,2020,0.2340493656854442
zip/02050,2020,0.2691007763538847
zip/02052,2020,0.4000339837379316
zip/02053,2020,0.3462010438308349
zip/02054,2020,0.4159641361638053
zip/02056,2020,0.3319685996205564
zip/02061,2020,0.2744150067481566
zip/02062,2020,0.384012916870603
zip/02066,2020,0.2744150067481566
zip/02067,2020,0.3366294870184049
zip/02071,2020,0.3319685996205565
zip/02072,2020,0.3319685996205564
zip/02081,2020,0.3273967661920106
zip/02090,2020,0.3840129168706031
zip/02093,2020,0.3319685996205564
zip/02108,2020,0.4000339837379316
zip/02109,2020,0.4000339837379316
zip/02110,2020,0.4000339837379316
zip/02111,2020,0.4000339837379316
zip/02113,2020,0.4000339837379317
zip/02114,2020,0.4000339837379316
zip/02115,2020,0.4000339837379316
zip/02116,2020,0.4000339837379316
zip/02118,2020,0.4000339837379316
zip/02119,2020,0.4000339837379316
zip/02120,2020,0.4000339837379317
zip/02121,2020,0.4000339837379316
zip/02122,2020,0.4000339837379315
zip/02124,2020,0.4000339837379316
zip/02125,2020,0.4000339837379316
zip/02126,2020,0.4000339837379316
zip/02127,2020,0.4000339837379316
zip/02128,2020,0.3319685996205564
zip/02129,2020,0.3462010438308349
zip/02130,2020,0.4000339837379316
zip/02131,2020,0.4000339837379316
zip/02132,2020,0.4000339837379316
zip/02133,2020,0.4000339837379316
zip/02134,2020,0.4000339837379316
zip/02135,2020,0.4000339837379316
zip/02136,2020,0.4000339837379316
zip/02138,2020,0.4636330587606935
zip/02139,2020,0.4159641361638053
zip/02140,2020,0.4636330587606936
zip/02141,2020,0.4159641361638052
zip/02142,2020,0.4159641361638052
zip/02143,2020,0.4159641361638053
zip/02144,2020,0.3462010438308349
zip/02145,2020,0.3462010438308349
zip/02148,2020,0.2778602894974836
zip/02149,2020,0.3462010438308348
zip/02150,2020,0.3462010438308349
zip/02151,2020,0.3462010438308349
zip/02152,2020,0.3319685996205564
zip/02155,2020,0.3462010438308348
zip/02163,2020,0.4000339837379316
zip/02169,2020,0.3351293871720459
zip/02170,2020,0.3319685996205564
zip/02171,2020,0.3319685996205564
zip/02176,2020,0.3521736747686116
zip/02180,2020,0.3478300281460402
zip/02184,2020,0.2626445368273528
zip/02186,2020,0.3319685996205564
zip/02188,2020,0.2626445368273528
zip/02189,2020,0.2318644993208294
zip/02190,2020,0.2781944107362387
zip/02191,2020,0.2482972078003212
zip/02199,2020,0.4000339837379316
zip/02203,2020,0.4000339837379315
zip/02205,2020,0.4000339837379316
zip/02210,2020,0.4000339837379316
zip/02215,2020,0.4000339837379316
zip/02301,2020,0.2208129666389588
zip/02302,2020,0.2208129666389588
zip/02322,2020,0.2208129666389589
zip/02324,2020,0.2136918285860703
zip/02325,2020,0.2208129666389588
zip/02330,2020,0.2842464238234354
zip/02332,2020,0.2691007763538847
zip/02333,2020,0.2208129666389588
zip/02338,2020,0.2681840610381049
zip/02339,2020,0.2208129666389588
zip/02341,2020,0.2208129666389588
zip/02343,2020,0.2626445368273528
zip/02346,2020,0.2533262443467552
zip/02347,2020,0.2659801060781507
zip/02350,2020,0.2208129666389588
zip/02351,2020,0.2208129666389588
zip/02356,2020,0.2332339144126039
zip/02357,2020,0.193002210756657
zip/02359,2020,0.2691007763538847
zip/02360,2020,0.2880596667255969
zip/02364,2020,0.2691007763538847
zip/02366,2020,0.2880596667255969
zip/02367,2020,0.2681840610381049
zip/02368,2020,0.335129387172046
zip/02370,2020,0.2318644993208294
zip/02375,2020,0.2173648474278896
zip/02379,2020,0.2057057981019293
zip/02382,2020,0.2208129666389588
zip/02420,2020,0.4159641361638053
zip/02421,2020,0.4636330587606936
zip/02445,2020,0.4000339837379316
zip/02446,2020,0.4000339837379316
zip/02451,2020,0.4159641361638052
zip/02452,2020,0.4636330587606936
zip/02453,2020,0.4159641361638053
zip/02457,2020,0.3443163097199341
zip/02458,2020,0.4159641361638054
zip/02459,2020,0.4159641361638052
zip/02460,2020,0.4159641361638053
zip/02461,2020,0.4159641361638054
zip/02462,2020,0.4072018309117727
zip/02464,2020,0.4072018309117727
zip/02465,2020,0.4159641361638053
zip/02466,2020,0.4159641361638053
zip/02467,2020,0.4159641361638053
zip/02468,2020,0.4072018309117727
